detuning_khz,sample,t_ns,t_bin_ns,diag_re,diag_im,diag_re0,diag_re_over_diag_re0,phase_rad,phase_deg
-50,5,200,200,4988880,-461,5000000,0.997776,-9.24055095909e-05,-0.00529444570331
-50,5,210,210,4987029,-392,5000000,0.9974058,-7.86039141125e-05,-0.00450367253186
-50,5,220,220,4988631,-351,5000000,0.9977262,-7.03599844167e-05,-0.00403133015368
-50,5,230,230,4990183,-222,5000000,0.9980366,-4.44873464267e-05,-0.00254893719199
-50,5,240,240,4991880,-389,5000000,0.998376,-7.79265525639e-05,-0.00446486257391
-50,5,250,250,4992906,-359,5000000,0.9985812,-7.19020144544e-05,-0.00411968196672
-50,5,260,260,4992858,-419,5000000,0.9985716,-8.39198709469e-05,-0.00480825442254
-50,5,270,270,4993202,-371,5000000,0.9986404,-7.43010195296e-05,-0.00425713483257
-50,5,280,280,4993130,-339,5000000,0.998626,-6.78932852698e-05,-0.00388999870324
-50,5,289.996011379,290,4992467,-436,5000000,0.9984934,-8.7331573527e-05,-0.00500373058133
-50,5,300,300,4994169,-416,5000000,0.9988338,-8.32971409333e-05,-0.00477257462099
0,1,0,0,10000000,0,10000000,1,0,0
0,1,10,10,9999864,0,10000000,0.9999864,0,0
0,1,20,20,9990457,10,10000000,0.9990457,1.00095521156e-06,5.73505091039e-05
0,1,30,30,9990383,43,10000000,0.9990383,4.30413929073e-06,0.000246609015795
0,1,40,40,9990744,-6,10000000,0.9990744,-6.00555874517e-07,-3.44093169716e-05
0,1,50,50,9990870,-18,10000000,0.999087,-1.80164490179e-06,-0.000103226649054
0,1,60,60,9990157,-35,10000000,0.9990157,-3.50344844429e-06,-0.000200732809599
0,1,70,70,9990544,31,10000000,0.9990544,3.10293413451e-06,0.000177785030014
0,1,80,80,9990833,54,10000000,0.9990833,5.40495472194e-06,0.000309681094027
0,1,90,90,9988608,-36,10000000,0.9988608,-3.60410579731e-06,-0.000206500051104
0,1,100,100,9984358,-27,10000000,0.9984358,-2.70422995649e-06,-0.00015494096334
0,1,110,110,9985186,59,10000000,0.9985186,5.90875322696e-06,0.000338546622089
0,1,120,120,9984968,87,10000000,0.9984968,8.71309752798e-06,0.000499223714839
0,1,130,130,9983598,70,10000000,0.9983598,7.01150026262e-06,0.000401729373103
0,1,140,140,9980170,12,10000000,0.998017,1.20238432812e-06,6.88915473541e-05
0,1,150,150,9976617,-60,10000000,0.9976617,-6.0140626827e-06,-0.000344580409446
0,1,160,160,9972823,220,10000000,0.9972823,2.20599523289e-05,0.0012639421647
