detuning_khz,t_ns,n_samples,diag_re_over_diag_re0_mean,diag_re_over_diag_re0_bootstrap_se,diag_re_over_diag_re0_bootstrap_lo_68,diag_re_over_diag_re0_bootstrap_hi_68,diag_re_over_diag_re0_bootstrap_lo_95,diag_re_over_diag_re0_bootstrap_hi_95,phase_rad_mean,phase_rad_bootstrap_se,phase_rad_bootstrap_lo_68,phase_rad_bootstrap_hi_68,phase_rad_bootstrap_lo_95,phase_rad_bootstrap_hi_95,phase_deg_mean,phase_deg_bootstrap_se,phase_deg_bootstrap_lo_68,phase_deg_bootstrap_hi_68,phase_deg_bootstrap_lo_95,phase_deg_bootstrap_hi_95
0,120,5,0.99852598,3.1371669674e-05,0.99849408,0.99855766,0.998459,0.99858064,3.09856104773e-05,5.65140078431e-06,2.49758439997e-05,3.69953769549e-05,1.89276080704e-05,4.06991528581e-05,0.00177534470599,0.000323801413278,0.00143101045096,0.00211967896101,0.00108447205871,0.00233188968853
0,130,5,0.99838424,7.01434418371e-06,0.9983765,0.998391,0.99836996,0.99839738,3.79611260465e-05,8.67552303755e-06,2.86463233806e-05,4.72759287123e-05,2.10137620724e-05,5.46074867987e-05,0.00217501230803,0.00049707085512,0.00164131342828,0.00270871118778,0.00120399987844,0.00312877852338
0,140,5,0.99799214,4.44857477644e-05,0.99794604,0.9980384,0.99789638,0.99806628,3.79570904413e-05,1.07587615519e-05,2.72739324545e-05,4.87967630634e-05,1.64342598323e-05,5.92046857071e-05,0.00217478108488,0.000616431629713,0.00156268122037,0.00279584857743,0.000941613727815,0.00339217861842
0,150,5,0.99767774,2.38273909243e-05,0.997653783408,0.99770208,0.99762838,0.99771992,4.58667447771e-05,1.52661124765e-05,3.03091294482e-05,6.14243601059e-05,1.43124118061e-05,7.45743285136e-05,0.00262797089573,0.000874683814474,0.0017365851981,0.00351935659336,0.000820040791144,0.00427279428385
0,160,5,0.99726878,9.97449532449e-06,0.99725766,0.99727976,0.99724632,0.9972828,5.4569588604e-05,1.53346104017e-05,3.76624163419e-05,7.14767608662e-05,2.57299208434e-05,8.31684732771e-05,0.00312660711678,0.000878608456493,0.00215789750265,0.0040953167309,0.00147421587153,0.00476520250732
0,170,5,0.99686688,1.99476427355e-05,0.99684692,0.99688684,0.99682822,0.99690554,5.53347064981e-05,1.94435436756e-05,3.49691615712e-05,7.5700251425e-05,2.26306672077e-05,9.69680628908e-05,0.00317044514294,0.00111403299139,0.00200358537114,0.00433730491473,0.00129664171857,0.0055558607512
0,180,5,0.99644166,2.11154530132e-05,0.99642024,0.996461559821,0.9964021,0.99648648,7.22384136418e-05,2.13631606588e-05,5.01194296837e-05,9.55644227063e-05,3.47025049746e-05,0.00011942995489,0.0041389562204,0.00122401894281,0.00287163179248,0.00547543809267,0.00198830707358,0.00684283236266
0,190,5,0.99580858,9.13994702184e-05,0.99571384,0.99590332,0.9956017,0.99595284,7.60183926394e-05,2.40791475301e-05,5.03169484413e-05,0.000100364554055,3.48063243702e-05,0.000127890738668,0.0043555330636,0.00137963352775,0.00288294878366,0.00575046536004,0.00199425548677,0.00732759956451
0,200,5,0.99524312,1.45315895025e-05,0.99522868,0.99525756,0.99521498,0.99527158,7.45950227858e-05,2.4614960959e-05,4.90934557243e-05,0.000100096589847,3.20739395491e-05,0.000126782882454,0.00427397997831,0.00141033337583,0.00281284781471,0.00573511214191,0.00183770136852,0.00726412407912
0,210,5,0.9940883,0.000142419249533,0.9939559,0.99422436,0.99382528,0.99435602,7.18547376859e-05,2.22483437877e-05,4.91744744327e-05,9.39294709969e-05,3.28629589366e-05,0.000119437855495,0.00411697320742,0.00127473620019,0.00281748984477,0.00538176226002,0.00188290884938,0.00684328503396
0,220,5,0.99524874,4.18067853144e-06,0.99524458,0.9952529,0.99524062,0.99525686,5.66288065661e-05,2.55308292533e-05,3.10876518916e-05,8.21699612406e-05,9.14288941854e-06,0.000105560572581,0.0032445916151,0.00146280876368,0.00178119124836,0.00470799198184,0.000523848976237,0.00604817529189
0,230,5,0.99627968,8.3234736059e-05,0.9961867,0.99637266,0.99609162,0.99638938,5.30035549784e-05,2.85273459807e-05,2.18905211821e-05,8.41165887747e-05,-3.45434665486e-06,0.000105820061875,0.00303687999945,0.00163449652541,0.00125423447508,0.00481952552383,-0.000197919484299,0.00606304293327
0,240,5,0.99695554,6.72477538906e-05,0.99688132,0.99703094,0.99680468,0.9970497,6.07304864592e-05,2.8182964213e-05,3.11218372261e-05,9.03391356923e-05,5.53571622156e-06,0.000113769850833,0.00347960056189,0.00161476490357,0.00178314992375,0.00517605120003,0.000317173176078,0.00651853228858
0,250,5,0.9972283,8.0909918136e-06,0.9972203,0.9972363,0.99721294,0.99724366,5.36484992234e-05,2.7751356132e-05,2.6212247348e-05,8.09844722843e-05,-1.12372571291e-06,0.000106375198333,0.00307383258271,0.00159003558213,0.00150185114459,0.00464006846798,-6.43847406799e-05,0.00609484990933
0,260,5,0.99718316,1.4726149362e-05,0.99716958,0.99719812,0.99715206,0.99721072,5.12246927989e-05,2.2560150698e-05,2.95026911312e-05,7.4189110025e-05,2.68908358224e-06,9.26817849042e-05,0.00293495870423,0.00129260142017,0.0016903796861,0.00425072289026,0.000154073140021,0.00531027511275
0,270,5,0.99727128,6.63733354163e-05,0.99719658,0.99734566,0.99712088,0.9973559,3.82653352626e-05,2.5373497467e-05,1.43976779518e-05,6.12098727914e-05,-1.15105257449e-05,9.2109564531e-05,0.0021924422122,0.00145379431634,0.000824926181427,0.00350706737548,-0.00065950454516,0.00527748930042
0,280,5,0.99721534,3.85394625398e-05,0.99717398,0.9972581,0.99712924,0.99727378,3.09256191766e-05,2.1443897633e-05,8.04147995889e-06,5.2368013847e-05,-1.18104062426e-05,7.32592376592e-05,0.00177190745765,0.00122864483068,0.000460742862683,0.00300046617492,-0.000676686432038,0.00419744512822
0,290,5,0.99739576,5.87775502733e-05,0.9973345,0.99745702,0.9972634,0.99749286,2.56886901409e-05,2.70007153353e-05,-3.84837161698e-06,5.4864008955e-05,-2.58045213959e-05,7.68201587339e-05,0.00147185352629,0.00154702703254,-0.000220495451651,0.00314347616029,-0.00147849016834,0.00440147087698
0,300,5,0.99810164,4.2565068439e-05,0.99806328,0.998143890449,0.99800856,0.9981816,4.18376930863e-05,2.77162826242e-05,1.43645721816e-05,6.93108139911e-05,-1.25083623043e-05,9.5139176037e-05,0.00239712323841,0.00158802601816,0.000823029360515,0.00397121711631,-0.000716676368658,0.00545107325327
50,0,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50,10,5,0.9999866,1.60025606129e-07,0.99998644,0.99998676,0.99998624,0.99998688,-2.00002800039e-08,1.78916571573e-08,-4.00005600078e-08,0,-6.00008400118e-08,0,-1.1459316333e-06,1.02511644361e-06,-2.29186326661e-06,0,-3.43779489991e-06,0
50,20,5,0.99895946,2.64614691011e-05,0.99893326,0.99898566,0.99891126,0.99901358,-5.00530055668e-07,4.27568685112e-07,-8.80903480317e-07,-1.20156631018e-07,-1.36135567948e-06,3.80332894893e-07,-2.86782597092e-05,2.44978811089e-05,-5.04720515806e-05,-6.88446783786e-06,-7.79999348503e-05,2.17914696873e-05
50,30,5,0.99903146,1.53842587125e-05,0.99901376,0.99904916,0.99900456,0.99906174,-1.66159597173e-06,1.41963163113e-06,-3.1230259936e-06,-2.00165949854e-07,-3.92364132019e-06,1.38127924698e-06,-9.52024364359e-05,8.13389009271e-05,-0.000178936208743,-1.14686641289e-05,-0.00022480808797,7.91414711811e-05
50,40,5,0.99905882,4.65472375821e-06,0.99905438,0.99906326,0.99904968,0.99906748,-4.34411065204e-06,1.15908573901e-06,-5.54523290851e-06,-3.14298839558e-06,-6.66635336523e-06,-2.18207230638e-06,-0.0002488992061,6.64107209393e-05,-0.000317718442075,-0.000180079970125,-0.000381953912571,-0.000125023533748
50,50,5,0.99906362,8.82875206336e-06,0.99905448,0.99907276,0.99904418,0.99907828,-2.08194868669e-06,1.0744503556e-07,-2.20204260683e-06,-1.96185476655e-06,-2.30215438273e-06,-1.88180861931e-06,-0.00011928687291,6.15614706723e-06,-0.000126167747679,-0.000112405998141,-0.000131903729918,-0.000107819691738
